;hsa;hsb;hsc;hsl;dis a b;dis a c;dis a l;dis b c;dis b l;dis c l
1095;;Vil ſelten ie geworchte;Seltan ie iht geworchte;vil ſelten ie iht geworhte;1,0;1,0;1,0;0,43;0,23;0,27
1096;;ih was durch dine vorchte;Iich wc durch dine vorhte;ich waſ dvrch dine vorhte;1,0;1,0;1,0;0,2;0,16;0,16
1097;;zechirchen nacht vnt tac;Ʒe der kilchen naht und tag;zer kirchen naht vnde tach;1,0;1,0;1,0;0,44;0,27;0,33
1098;;ſit ih der w͛lde ſo gar v͛phlac;Sid ich der welt v͛phlag;ſit ich der werlde verpflach;1,0;1,0;1,0;0,45;0,42;0,36
1099;;Daz miͤn lieb͛ vater v͛ſchiet;Vn̄ vil lieb͛ man u͛ſchiet;vnd min vil lieber man verſchiet;1,0;1,0;1,0;0,38;0,5;0,34
1100;;nah miͤnen ſtaten ih geriet;Nach minen ſtattan ich beriet;nach minen ſtaten ich beriet;1,0;1,0;1,0;0,24;0,14;0,1
1101;;Arme vn̄ ellende;Baide arm vnd ellende;beide arme vnd ellende;1,0;1,0;1,0;0,43;0,36;0,14
1102;;Dem racht ih miͤne hende;Den racht ich mine hende;den rachte ich mine hende;1,0;1,0;1,0;0,12;0,2;0,08
1103;;Ich berucht ſi mit gemache;Vnd beriet ſi mit gemache;vnd pflach ir mit gemache;1,0;1,0;1,0;0,23;0,38;0,36
1104;;vnder miͤnen obedache;Vnd͛ minem ob dache;vnder minem obedache;1,0;1,0;1,0;0,29;0,1;0,2
1105;;Mit trinchen vnt mit ezzen;Mit trinken vnd mit eſſen;mit trinchen vnd mit ezzen;1,0;1,0;1,0;0,19;0,08;0,19
1106;;alſus han ih beſezzen;Alſus han ich beſeſſen;alſvs han ich beſezzen;1,0;1,0;1,0;0,18;0,09;0,18
1107;;Daz wæiſtu h͛re got fvr war;Dc waiſt du h͛ʒe wol fuͥr war;daz weiſtvͦ herre wol fvͤr war;1,0;1,0;1,0;0,34;0,3;0,4
1108;;minen witwen ſtul ſiben iar;Minen witewen ſtuͦl ſiben iar;minen witwenſtvl ſiben iar;1,0;1,0;1,0;0,1;0,07;0,17
1109;;An alle miſſewende;Ane alle miſſewende;an alle miſſewende;1,0;1,0;1,0;0,05;0,06;0,11
1110;;ach ach wi ih nu ſchende;Ach ach wie ich nu ſchende;Ach ach wie ich nvͦ ſchende;1,0;1,0;1,0;0,12;0,19;0,07
1111;;Min vrivnt vn̄ miͤn chvnne;Min geburt vn̄ min kuͥnne;mine vrivnt vnd min chvͤnne;1,0;1,0;1,0;0,35;0,19;0,44
1112;;die mvzzen arme wune;Die muͦſent kranke wunne;di mvͤzen nvͦ chranche wͤnne;1,0;1,0;1,0;0,42;0,5;0,5
1113;;An miͤnen liͤbe nu ſehen;An minem libe nu ſehen;an mime libe geſehen;1,0;1,0;1,0;0,12;0,33;0,27
1114;;ih bin zebarmen nu geſchehen;Ich bin ʒe erbarmenne geſchehen;ih bin zerbarmen geſchehen;1,0;1,0;1,0;0,26;0,14;0,23
1115;;Den ih vil wol genozte e;Den ich wol gelichete e;den ich vil wol gelichet e;1,0;1,0;1,0;0,42;0,27;0,23
1116;;owe mir armen ach ach we;Oͮwe mir armen iemer we;we mir armer vnde owe;1,0;1,0;1,0;0,38;0,42;0,35
1117;;Deſ ſchaden d͛ ſchanden vn̄ d͛ not;;dirre ſchande vnt der not;1,0;1,0;1,0;1,0;0,5;1,0
1118;;daz mih der gemeine tot;;daz mih der grimme tot;1,0;1,0;1,0;1,0;0,22;1,0
1119;;Nih ſchoͤne von d͛ werlde nam;;niht e von der werlde nam;1,0;1,0;1,0;1,0;0,34;1,0
1120;;nu muz ih chrump vn̄ lam;;Nvͦ muͦz ih chrvmbiv vnd lam;1,0;1,0;1,0;1,0;0,32;1,0
1121;;Miͤn leben alſo triͤben hin;;min leben alſvs vertriben hie;1,0;1,0;1,0;1,0;0,31;1,0
1122;;niem̄ wart armer denn ih bin;;ni niemen wart ermer danne ich bin;1,0;1,0;1,0;1,0;0,26;1,0
1123;;Nv ſeht wi zeloni ſach;nu wa aneſtaſie ſach;Nvͦ ſeht wa Zeloni ſach;1,0;1,0;1,0;0,68;0,13;0,65
1124;;Einen engel der wid͛ ſiͤ ſprach;ainen engel d͛ wid͛ ſi ſprach;einen engel der wider ſi ſprach;1,0;1,0;1,0;0,13;0,13;0,16
1125;;Bit daz wiͤp geloubich weſen;Hais dis wip geloͮbig weſen;bit diz wip gelovbech weſen;1,0;1,0;1,0;0,32;0,18;0,3
1126;;ſi mag noh harte wol geneſen;Si mag noch vil wol geneſen;ſi mach noh vil wol geneſen;1,0;1,0;1,0;0,25;0,25;0,15
1127;;Nine v͛zweivel an got;Geloͮben baidiv an got;niht verzwivele ane gote;1,0;1,0;1,0;0,64;0,38;0,67
1128;;vn̄ wizze daz ſiͤn gebot;Vnd wiſſent dc ſinem gebot;vnde wize daz ſinem gebote;1,0;1,0;1,0;0,42;0,27;0,35
1129;;Elliv dinch niht vmmvglich ſīt;Aͤlluͥ dink vil mugelich ſint;elliv dinch vil mvͤgelich ſint;1,0;1,0;1,0;0,45;0,29;0,27
1130;;bervret dirr meide chint;Beruͤret ſi dirre maͤgte kint;bervͤret dirre meide chint;1,0;1,0;1,0;0,45;0,08;0,38
1131;;Mit ſiner heiligen hant;Mit ſin͛ hailigen hant;mit ſiner heiligen hant;1,0;1,0;1,0;0,13;0,04;0,17
1132;;ir leme vn̄ ir gegihteſ bant;Ir lemi vn̄ ir gegihtes bant;ir leme vnd ir vergihtes bant;1,0;1,0;1,0;0,11;0,14;0,17
1133;;Si iſt geneſen geloub mirz;Si iſt geneſen geloͮbe mirs;ſi iſt geneſen gelovbt mirz;1,0;1,0;1,0;0,11;0,11;0,15
1134;;nu getrvwe got vnt rat ouh irz;Erkenne got vn̄ rat oͮch irs;nvͦ erchenne got vnd rat ovch irz;1,0;1,0;1,0;0,4;0,36;0,3
1135;;Div frowe alſo bewiſet was;div vrovwe alſ ſi gewiſet was;Div frowe alſ ſi bewiſet was;1,0;1,0;1,0;0,24;0,11;0,14
1136;;lerte iene daz ſi genas;Div lert oͮch ene dc ſi genas;lerte iene daz ſi genas;1,0;1,0;1,0;0,41;0,0;0,41
1137;;Do ditz allez ergie;Do dis alles ergie;Nvͦ diz allez alſo er gie;1,0;1,0;1,0;0,16;0,4;0,44
1138;;vnt ſiͤ der ſiechtum verlie;Vnd ſi der ſiechtum uerlie;daz ſi div ſiecheit verlie;1,0;1,0;1,0;0,15;0,33;0,35
1139;;Nu lobten ſi got beide;Do lobtont ſi got baide;do lobten ſi got beide;1,0;1,0;1,0;0,22;0,09;0,17
1140;;daz ſi von hertzen leide;Das ſi von ir h͛ʒelaide;daz ſi von herzen leide;1,0;1,0;1,0;0,42;0,04;0,43
1141;;Siͤn genade het enbunden;Sin genade hate enbunden;ſin genade het enbvnden;1,0;1,0;1,0;0,12;0,12;0,17
1142;;an den ſelben ſtunden;An den ſelben ſtunden;An den ſelben ſtvnden;1,0;1,0;1,0;0,05;0,1;0,05
1143;;Begunden ſi hoͤren;Begunde man do hoͤren;begonde man alreſt horen;1,0;1,0;1,0;0,24;0,46;0,38
1144;;von dem himeliſchen choͤren;von engelſchen koͤren;von den himeliſſchen choren;1,0;1,0;1,0;0,33;0,11;0,37
1145;;;Vroͤlichen ſingen;di engele lvte ſingen;1,0;1,0;1,0;1,0;1,0;0,62
1146;;;In ſuͤzer ſtimme klingen;von ſvͤzzer ſtimme chlingen;1,0;1,0;1,0;1,0;1,0;0,22
1147;;Gloria inexcelſis d̉o;Gloria in excelſis deo;Gloria in ex celſis deo;1,0;1,0;1,0;0,09;0,13;0,04
1148;;daz bedivtet ſih alſo;Dc ſprichet etſwa alſo;daz ſprichet tivſſchen alſo;1,0;1,0;1,0;0,55;0,44;0,41
1149;;lob indem himel gote;Gelobt ſig in den himel got;Lop ſi in den himeln gote;1,0;1,0;1,0;0,37;0,32;0,3
1150;;manich engel vrone bote;Maͤnig engel vrone bot;vil manech engel vroner bote;1,0;1,0;1,0;0,22;0,21;0,39
1151;;vol bracht daz geſanc;Dc lob vil vroͤliche ſank;mit frevden ſvngen diſen ſanch;1,0;1,0;1,0;0,76;0,7;0,73
1152;;dane douht die wile niem̄ lanc;Div wile wc da vil vnlank;div wile dvhte da niemen lanch;1,0;1,0;1,0;0,73;0,6;0,43
1153;;;nu ſuͥln wir oͮch wiſſen lan;;1,0;1,0;1,0;1,0;1,0;1,0
1154;;;Von welen ſchulden wart getan;;1,0;1,0;1,0;1,0;1,0;1,0
1155;;Nu habet ir wol v͛nomen;Das ioſeph vͥns͛ vroͮwen nam;Ir habt ovch e wol vernomen;1,0;1,0;1,0;0,79;0,41;0,82
1156;;daz von Romæ waren chomen;Ʒe rehter e nu ſehent das kam;wi von Rome waren chomen;1,0;1,0;1,0;0,83;0,16;0,79
1157;;;Von dirre hande ſachen;;1,0;1,0;1,0;1,0;1,0;1,0
1158;;;Die wir iv kunt machen;;1,0;1,0;1,0;1,0;1,0;1,0
1159;;;mit der warhait an diſen ſtunden;;1,0;1,0;1,0;1,0;1,0;1,0
1160;;;Swa man wip hette funden;;1,0;1,0;1,0;1,0;1,0;1,0
1161;;;Mit reht͛ e bekant;;1,0;1,0;1,0;1,0;1,0;1,0
1162;;;Div waͤre u͛ſtainet ſa ʒehant;;1,0;1,0;1,0;1,0;1,0;1,0
1163;;;Ob ſi niht kuͥnde erʒaigē ir man;;1,0;1,0;1,0;1,0;1,0;1,0
1164;;;Der ſi ʒe rehte ſoͤlte han;;1,0;1,0;1,0;1,0;1,0;1,0
1165;;;Dis wc do ind͛ iuden e;;1,0;1,0;1,0;1,0;1,0;1,0
1166;;;Noch ſont wir nu ſagon me;;1,0;1,0;1,0;1,0;1,0;1,0
1167;;;was div and͛ ſchulde waͤre;;1,0;1,0;1,0;1,0;1,0;1,0
1168;;;Dc er ir pflaͤgaͤre;;1,0;1,0;1,0;1,0;1,0;1,0
1169;;;Vn̄ ir manʒoge ſolte weſen;;1,0;1,0;1,0;1,0;1,0;1,0
1170;;;So ſi des kindes waͤre geneſen;;1,0;1,0;1,0;1,0;1,0;1,0
1171;;;Div dritte ſache iſt unu͛holn;;1,0;1,0;1,0;1,0;1,0;1,0
1172;;;Da wart dem tievel niͭ u͛ſtoln;;1,0;1,0;1,0;1,0;1,0;1,0
1173;;;Sin mēſchait die e͛ an ſich nam;;1,0;1,0;1,0;1,0;1,0;1,0
1174;;;Do er durch uͥns h͛ in erde kam;;1,0;1,0;1,0;1,0;1,0;1,0
1175;;;div hant ir e wol uernomen;;1,0;1,0;1,0;1,0;1,0;1,0
1176;;;wie vō rome warēt komen;;1,0;1,0;1,0;1,0;1,0;1,0
1177;;Bediv brief vn̄ boten;Baidiv brief vn̄ lotten;beide brieve vnd boten;1,0;1,0;1,0;0,17;0,32;0,39
1178;;vnt heten vber al geboten;Wie der kaiſer hate enbotten;di heten vͤber al geboten;1,0;1,0;1,0;0,57;0,16;0,57
1179;;Daz man dem cheiſer ſande;Das man im ſande;daz man dem cheiſer ſande;1,0;1,0;1,0;0,44;0,04;0,48
1180;;den gelt von dem lande;Den ʒinſ von dem lande;den zins von dem lande;1,0;1,0;1,0;0,23;0,18;0,14
1181;;Deſ was ein chreftigez magen;Das was ain kreftiges magen;Nvͦ waſ ein chreftiger magn;1,0;1,0;1,0;0,21;0,21;0,33
1182;;des volcheſ indie ſtat geſlagen;Des volkes in die ſtat geſchlagen;deſ volches in di ſtat geſlagn;1,0;1,0;1,0;0,21;0,16;0,24
1183;;Die ſih da ledigen wolten;Alſ ſi ſich da ledegon wolten;di ſich da ledigen wolten;1,0;1,0;1,0;0,31;0,12;0,24
1184;;dar vmbe ſi niemen ſolten;Durch die not ſi niht dolten;dar vmbe ſi niht dolten;1,0;1,0;1,0;0,57;0,2;0,39
1185;;Daz dehæin vih inder ſtat belibe;Das de kain wihe darinne belibe;daz dehein vihe in der ſtat belibe;1,0;1,0;1,0;0,44;0,12;0,44
1186;;ſi ſchuffen daz ez tribe;Si ſchuͦfen dc manſ us tribe;ſi ſchvͦffen daz manz vz tribe;1,0;1,0;1,0;0,32;0,27;0,27
1187;;Zevelde vn̄ ſin hvten wol;Ʒe welde vnd ſin da huͦte wol;ze velde vnd ſin da pflægen wol;1,0;1,0;1,0;0,34;0,35;0,26
1188;;div ſtat elliv livte vol;Div ſtat wc des volkes ſo vol;div ſtat was gar von livten vol;1,0;1,0;1,0;0,52;0,35;0,45
1189;;;Alſ ich iv beſchaide;Alſ ich iv hie beſcheide;1,0;1,0;1,0;1,0;1,0;0,21
1190;;;In dem lande iſt div waide;in dem lande iſt div weide;1,0;1,0;1,0;1,0;1,0;0,08
1191;;;Den wint͛ vn̄ dc gruͤne gras;winters vnt daz grvͤne gras;1,0;1,0;1,0;1,0;1,0;0,39
1192;;;Dc in dem ſum͛ tuͤrre wc;daz den ſvmer er dorret was;1,0;1,0;1,0;1,0;1,0;0,63
1193;;Sie wellten zv d͛ hvͤte;Si erwelton ʒuͦ ir huͦte;Si ſchvͦffen zvͦ der hvͦte;1,0;1,0;1,0;0,46;0,46;0,5
1194;;piderbe livt vn̄ guͦte;Die mit manlichem muͦte;di mit manlichem mvͦte;1,0;1,0;1,0;0,7;0,77;0,13
1195;;Die ganzer triwen wielten;Vil ganʒ͛ tugende wielten;vil ganzer triwen wielten;1,0;1,0;1,0;0,4;0,08;0,36
1196;;vn̄ ez alſo be hielten;Dc ſi in ir vihe behielten;vnd ir vihe alſo behielten;1,0;1,0;1,0;0,58;0,35;0,5
1197;;Daz ez allez wider chæme;Das eſ gar wid͛ in kaͤme;daz ez gar wider qvæme;1,0;1,0;1,0;0,58;0,33;0,42
1198;;vn̄ dehein ſchaden næme;Vn̄ niemā de kainē ſchadē dͣ naͤme;vnde niemen ſchaden næme;1,0;1,0;1,0;0,5;0,25;0,5
1199;;Von wolfen noh von dieben;Von wolfe noch vō diebe;von wolve noch von diebe;1,0;1,0;1,0;0,2;0,2;0,17
1200;;durch der geſte liebe;Durch der geſte liebe;dvrch der geſte liebe;1,0;1,0;1,0;0,05;0,05;0,1
1201;;So næmen ſih ez an;Nam man ſich es alſus an;namen ſi ſichez alſo an;1,0;1,0;1,0;0,58;0,61;0,42
1202;;vn̄ tribenz durch behalten dan;Vnd triben es durch behaltē dan;vnd tribenz dvrh behalten dan;1,0;1,0;1,0;0,23;0,1;0,26
1203;;Si ſuchten guͦte weide;Si ſuͦchtent guͦte waide;ſi ſvͦchten gvͦte weide;1,0;1,0;1,0;0,12;0,17;0,21
1204;;nu erſchæin in vͦf der heide;Do erſchain in vf der hade;Nvͦ erſchein in vf der heide;1,0;1,0;1,0;0,21;0,18;0,21
1205;;Ein lvtzel e ez tageteͤ;Anͥ luͥʒel e es tagete;ein lvͤzel e ez tagete;1,0;1,0;1,0;0,35;0,13;0,32
1206;;ein engel der in ſagte;Ain engel der in ſagete;ein engel der in ſagete;1,0;1,0;1,0;0,09;0,04;0,04
1207;;Daz chriſt geborn wære;Das got geborn waͤre;daz got geborn wære;1,0;1,0;1,0;0,36;0,27;0,2
1208;;der wnnechlichen mære;Diſuͥ ſaͤlʒenen maͤre;diſiv ſtarchen niwͤ mære;1,0;1,0;1,0;0,71;0,62;0,54
1209;;;Begunden ir h͛ʒen waichen;begvnden ir herce weichen;1,0;1,0;1,0;1,0;1,0;0,28
1210;;;Er gab in ʒe vorʒaichen;daz habt iv ze wortzeichen;1,0;1,0;1,0;1,0;1,0;0,42
1211;;;Er ſprach ir winden an diſen ſtundē;ir vindet an diſen ſtvnden;1,0;1,0;1,0;1,0;1,0;0,43
1212;;;Mit tuͦchē bewnden;mit tvͦchen bewnden;1,0;1,0;1,0;1,0;1,0;0,16
1213;;;Das kint in ain͛ krippe ligen;daz chint in einer krippen ligen;1,0;1,0;1,0;1,0;1,0;0,25
1214;;;Die hirten do dem engel nigen;Di hirte do dem engel nigen;1,0;1,0;1,0;1,0;1,0;0,07
1215;;;Si begunden und͛anand͛ iehen;ſi begonden vnder ein ander iehen;1,0;1,0;1,0;1,0;1,0;0,33
1216;;;Wir ſont gan vnd beſehen;wir ſvln gen vnd ſehen;1,0;1,0;1,0;1,0;1,0;0,29
1217;;;Die gnade die vͥnſ got erʒaiget hat;di genade di vns erzeiget hat;1,0;1,0;1,0;1,0;1,0;0,34
1218;;;Ʒe bedlehem vor der ſtat;got ze Betlehem in der ſtat;1,0;1,0;1,0;1,0;1,0;0,37
1219;;Wart groz vrivde vnd͛ in;Des ſont wir vͥns vroͮwen alle;deſ ſvͤln wir vns frevn alle;1,0;1,0;1,0;0,8;0,79;0,4
1220;;vn̄ cherten nah dem ſchalle hin;Sie kertont nach dem ſchalle;Sich cherten nach dem ſchalle;1,0;1,0;1,0;0,39;0,29;0,21
1221;;Da die engel mit geſange furen;Vnd kament in kurʒen ſtunden;vnde chomen in chvrcen ſtvnden;1,0;1,0;1,0;0,77;0,77;0,37
1222;;vil ſchiere ſi er furen;Da ſi die warhait funden;da ſi di warheit fvnden;1,0;1,0;1,0;0,67;0,74;0,17
1223;;Die warheit ane lougen;Schinbaͤr vnd ane loͮgen;ſchinberliche vnd ane lovgen;1,0;1,0;1,0;0,5;0,5;0,32
1224;;vnt ſahen mit ir ougen;Si ſahent mit ir oͮgen;vnd ſahen mit ir ovgen;1,0;1,0;1,0;0,23;0,09;0,23
1225;;Inmenſchlichem bilde;In menſchlichem bilde;in menneſchlichem bilde;1,0;1,0;1,0;0,05;0,17;0,13
1226;;dem walt vnt gevilde;;dem walt vnd gevilde;1,0;1,0;1,0;1,0;0,05;1,0
1227;;Wſt vn̄ bow iſt vnd͛tan;Bu vnd wͦſti iſt vnd͛tan;bwͦ vnde wͦſte ſint vndertan;1,0;1,0;1,0;0,38;0,5;0,32
1228;;vn̄ daz mer alſ ih gelouben han;vnd mer alſ ich geloͮben han;vnd mer alſ ich gelovben han;1,0;1,0;1,0;0,19;0,19;0,04
1229;;Der himele hat beſezzen;;Der den himel hat beſezzen;1,0;1,0;1,0;1,0;0,19;1,0
1230;;gewegen vn̄ gemezzen;;gewegen vnd gemezzen;1,0;1,0;1,0;1,0;0,05;1,0
1231;;Abgrvnde vn̄ itwage;Apgruͥnde vnt ẏtwaͤge;apgrvͤnde vnd irewege;1,0;1,0;1,0;0,32;0,33;0,41
1232;;ſi iehent daz er lage;Si ſagent dc er laͤge;ſi iehent daz er læge;1,0;1,0;1,0;0,33;0,05;0,38
1233;;Inchintlichen banden;In kintlichen banden;in kintlichen banden;1,0;1,0;1,0;0,1;0,15;0,05
1234;;ſine gotheit ſi erchanden;Sine gothait ſi erkanden;Sine gotheit ſi erchanden;1,0;1,0;1,0;0,16;0,04;0,12
1235;;Andem engeliſchem lobe;Bi dem enſlichem lobe;an dem engeliſſchem lobe;1,0;1,0;1,0;0,27;0,12;0,25
1236;;d͛ ſwebt ein michel teil dar obe;Der ſwebte ain micheltail dar obe;der ſwebte ein michelteil dar obe;1,0;1,0;1,0;0,21;0,12;0,09
1237;;Vnt lobten ir ſchephære;Si lobton ir ſchephaͤre;vnd lobten ir ſchæpfære;1,0;1,0;1,0;0,26;0,17;0,35
1238;;ſwi er hi en erde wære;Doch ſwie er ain naͤhtig waͤre;Swi er hie ein næthech wære;1,0;1,0;1,0;0,57;0,33;0,6
1239;;Siͤn alter doch en machte;Sin alt͛ nieman mahte;ſin alter done mohte;1,0;1,0;1,0;0,4;0,32;0,48
1240;;nieman zeganzer achte;Ʒen hain͛ ganʒer ahte;niemen ze ganzer ahte;1,0;1,0;1,0;0,52;0,14;0,48
1241;;Den iaren ge liͤchen;Mit muͦte gelichen;mit deheiner zal gelichen;1,0;1,0;1,0;0,5;0,6;0,48
1242;;wan er ewe chlichen;Er wc eweklichen;wand er iſt ewichlichen;1,0;1,0;1,0;0,42;0,3;0,52
1243;;An anegenge iſt vn̄ ane drum;Ane angenge vnd ane drum;an anegenge vnt ane drvm;1,0;1,0;1,0;0,25;0,25;0,21
1244;;inprincipio erat verbum;Inprincipio erat v͛bum;Inprincipio erat u͛bū;1,0;1,0;1,0;0,13;0,22;0,09
1245;;Daz iſt ein wort von anegenge;Dc ſpc̃het ain wort vō dem engenge;daz chivt Ein wort von anegenge;1,0;1,0;1,0;0,47;0,16;0,47
1246;;ſiͤn genade vns deſ v͛henge;Das vͥnſ got noch uerhenge;got vns noch verhenge;1,0;1,0;1,0;0,7;0,59;0,38
1247;;Daz wir ſo v͛triben daz leben;Dc wir alſo behaltent diſ leben;daz wir ſo verenden diz leben;1,0;1,0;1,0;0,42;0,24;0,39
1248;;daz er vns daz ewige mvzze geben;Das vͥns dc ewige w͛de gegeben;daz er vns daz ewige rvͦche geben;1,0;1,0;1,0;0,44;0,12;0,45
1249;;Ditz was e lange bedacht;;Diz was lange vor bedaht;1,0;1,0;1,0;1,0;0,33;1,0
1250;;daz ſiͤn lop wurde vol bracht;;e daz ſin lop wrde vol braht;1,0;1,0;1,0;1,0;0,17;1,0
1251;;ze vollechlichem werde;;ze vollechlichem werde;1,0;1,0;1,0;1,0;0,0;1,0
1252;;von dem himel vn̄ von d͛ erde;;da zehimele vnde vͦf der erde;1,0;1,0;1,0;1,0;0,45;1,0
1253;;Daz ſprechent div buch zedivte;;Daz ſprechent div bvͦch ze divte;1,0;1,0;1,0;1,0;0,09;1,0
1254;;engel vnde livte;;beide engel vnde di livte;1,0;1,0;1,0;1,0;0,36;1,0
1255;;;;di lobent in dvrch ſinen gewalt;1,0;1,0;1,0;1,0;1,0;1,0
1256;;;;mit lobe vil manechvalt;1,0;1,0;1,0;1,0;1,0;1,0
1257;;Die engel von dem himel ſint;;di engele von den himeln ſint;1,0;1,0;1,0;1,0;0,17;1,0
1258;;die livt der erde chint;;di livte ſint der erden kint;1,0;1,0;1,0;1,0;0,36;1,0
1259;;Die lobten in beide nah ir ſite;;di lobent in beide nach ir ſite;1,0;1,0;1,0;1,0;0,16;1,0
1260;;noh en was ez hie niht genuch mitte;;Noch enwas eſ niht genvͦch da mite;1,0;1,0;1,0;1,0;0,4;1,0
1261;;di ſterne ſand̉n ouh ir liͤht dar;;di ſterne ſanden ir lieht dar;1,0;1,0;1,0;1,0;0,18;1,0
1262;;die naht vntz anden morgen gar;;daz di naht vnz an den morgen gar;1,0;1,0;1,0;1,0;0,21;1,0
1263;;Wnnechlichen dar ob ſchæin;;vil wͤnnechliche dar obe ſchein;1,0;1,0;1,0;1,0;0,29;1,0
1264;;ditz was der groͤſten ſtern aein;;daz was der groͤzeſten ſtern ein;1,0;1,0;1,0;1,0;0,16;1,0
1265;;Der ie da vor wart geſehen;;der da bevor ie wart geſehen;1,0;1,0;1,0;1,0;0,32;1,0
1266;;da von begunden die livte iehen;;do begonden di livte iehen;1,0;1,0;1,0;1,0;0,19;1,0
1267;;ze ieruſalem vnt anderſ wa;;ze ierlin vnd anderſwa;1,0;1,0;1,0;1,0;0,27;1,0
1268;;daz ſicherlichen da;;daz etwa ſicherlichen da;1,0;1,0;1,0;1,0;0,21;1,0
1269;;Der werlde heilære;;der werlde heilære;1,0;1,0;1,0;1,0;0,06;1,0
1270;;chriſt geborn wære;;kriſt geborn wære;1,0;1,0;1,0;1,0;0,11;1,0
1271;;Nu begunden dar gahen;do begunde dar gahen;Nvͦ begonden dar gahen;1,0;1,0;1,0;0,14;0,14;0,23
1272;;verre vnde nahen;Verre vnd nahen;von verren vnd von nahen;1,0;1,0;1,0;0,12;0,38;0,42
1273;;Die livte durch daz wunder;Die luͥte durch die wnd͛;di livte dvrh daz wnder;1,0;1,0;1,0;0,27;0,19;0,42
1274;;doch waren genvge dar vnder;Oͮch warent genuͦge dar und͛;ovch waren genvͦge dar vnder;1,0;1,0;1,0;0,29;0,11;0,25
1275;;D͛ h͛tze guͦter andaht phlac;Der h͛ʒe guͦt͛ andahte phlag;der herce gvͦter andaht pflach;1,0;1,0;1,0;0,29;0,3;0,37
1276;;div froͮwe vntz anden driten tac;Vͥnſer vroͮwe vnʒ an den drittē tag;Div frowe vnz an den dritten tach;1,0;1,0;1,0;0,37;0,18;0,37
1277;;An ir gemache da beleip;In dem ſtaine belaip;an ir gemache da beleip;1,0;1,0;1,0;0,57;0,04;0,57
1278;;vntz ſi daz gedrenge v͛træip;Vnʒ ſi dc gedrank da u͛traip;vnz daz ſi der gedranch da ver treip;1,0;1,0;1,0;0,43;0,44;0,42
1279;;Daz volch zoͤh alumbe dar;;;1,0;1,0;1,0;1,0;1,0;1,0
1280;;herhaft vnt mit ſchar;;;1,0;1,0;1,0;1,0;1,0;1,0
1281;;Die ſi alle wolten ſehen;;;1,0;1,0;1,0;1,0;1,0;1,0
1282;;div ſtat chund in niht geſchehen;;;1,0;1,0;1,0;1,0;1,0;1,0
1283;;Daz gadem was ze enge;Der ſtain wc vil enge;want daz gadem daz waſ enge;1,0;1,0;1,0;0,57;0,41;0,67
1284;;des wart da gedrenge;Des huͦb ſich dc gedrenge;des hvͦb ſich daz gedrenge;1,0;1,0;1,0;0,44;0,38;0,15
1285;;Harte michel vor der tvͤr;Inrenthalp des ſtaines tuͥr;in dem ſteine vnd for der tvͤr;1,0;1,0;1,0;0,7;0,5;0,7
1286;;nv bat ſi ir betten her fvͤr;Si bat ir helfen da fuͥr;Si bat ir helfen do hin fvͤr;1,0;1,0;1,0;0,46;0,46;0,25
1287;;Durch d͛ livte gemach;Durch der luͥte gemach;dvrh der livte gemach;1,0;1,0;1,0;0,18;0,24;0,23
1288;;ob ſi ieman gerne ſach;Ob ſi g͛ne ieman ſach;ob ſi iemen gern ſach;1,0;1,0;1,0;0,45;0,09;0,38
1289;;Daz ſi ſih den wol ſehen lie;Dc ſi ſich den wol ſehen lie;daz ſi ſich den wol ſehen lie;1,0;1,0;1,0;0,11;0,07;0,1
1290;;d͛ wech dem ſtein nahen gie;Der weg dem ſtain ſo nahe gie;der wech dem ſteine ſo nahen gie;1,0;1,0;1,0;0,34;0,19;0,19
1291;;Sw͛ da fvr gie od reit;Swer da Fuͥr gienk ald͛ rait;ſwer der fvͤr gie oder reit;1,0;1,0;1,0;0,39;0,3;0,46
1292;;der mocht inſiner menſcheit;Der mohte in ſin͛ menſchait;der mohte in ſiner menneſcheit;1,0;1,0;1,0;0,26;0,17;0,2
1293;;Himels vn̄ erde herren ſehen;Himelſ und erde h͛ren ſehen;himels vnde erden herren ſehen;1,0;1,0;1,0;0,18;0,13;0,23
1294;;ditz was ane ſach niht geſchehē;Dis wc ane ſaͤthe niht beſchehen;Diz was ane ſache niht geſchehen;1,0;1,0;1,0;0,31;0,12;0,19
1295;;So manic rich palas;So maͤnig richer palas;ſo manech richer palas;1,0;1,0;1,0;0,18;0,23;0,23
1296;;vn̄ chemmenate īd͛ w͛lde was;Vnd kemenate ind͛ welte wc;vnd kemnate inder werlde waſ;1,0;1,0;1,0;0,34;0,38;0,29
1297;;Mit gizierde vn̄ mit geræte;;mit gezierde vnd mit geræte;1,0;1,0;1,0;1,0;0,11;1,0
1298;;mit riͤcher betwæte;;vnde mit richer bettewæte;1,0;1,0;1,0;1,0;0,32;1,0
1299;;Des er hie alles enbar;D͛ er aller dinch vͥns enbar;des er hi alles dvrch vns enbar;1,0;1,0;1,0;0,5;0,39;0,32
1300;;vn̄ in ſiͤn muͦt͛ maget gebar;Vnd in ſin muͦt͛ hie gebar;daz in ſin mvͦter magt gebar;1,0;1,0;1,0;0,24;0,28;0,36
1301;;Indem velde bi dem wege;In dem ſtaine bi dem wege;vͦf dem velde bi dem wege;1,0;1,0;1,0;0,24;0,16;0,32
